Titre,image,mbsrp_card_photo_figcount,mbsrp_card_photo_figpost,nom,mbsrp_card_adssince,mbsrp_card_adsserved,nom_lien,nom1,motclé,motclé2,motclé3,motclé4,motclé5,motclé6,motclé7,motclé8,motclé9,motclé10,motclé11,champ,prix,prix12,mbsrp_actionbtn,mbsrp_actionbtn13
"3 BHK Apartment for Rent in Golf View Condos, Sector 19B Dwarka New Delhi","data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","4
+
Photos",Updated yesterday,Owner: Sumit,,,https://www.magicbricks.com/golf-view-condos-dwarka-sector-19b-new-delhi-pdpid-4d4235343234343335,Golf View Condos,"FURNISHING
Semi-Furnished","BATHROOM
3","TENANT PREFERRED
Bachelors","AVAILABILITY
Immediately","CARPET AREA
1850 sqft","FLOOR
8 out of 13","FACING
North - West","OVERLOOKING
Garden/Park, Main Road","SOCIETY
Golf View Condos","BATHROOM
3","BALCONY
3",Golf course facing view flat corner prime property The monthly maintenance is Rs 5000/-.,"₹
70,000",Security Deposit,Contact Owner ,Request Site Visit 
3 BHK Apartment for Rent in Kohat Enclave New Delhi,"data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","9
+
Photos",Updated yesterday,Owner: Harsh Dewan,,,,,"FURNISHING
Unfurnished","BATHROOM
4","TENANT PREFERRED
Bachelors","AVAILABILITY
Immediately","CARPET AREA
2000 sqft","FLOOR
3 out of 4","OVERLOOKING
Garden/Park","BATHROOM
4","BALCONY
4",,,"Multistory apartment is available for rent. It covered area of 2000 sq-ft, it is a good location. Please contact for more details.","₹
60,000",Security Deposit,Contact Owner ,Ask Society Name 
"2 BHK Apartment for Rent in DDA LIG Flats, Hari Nagar New Delhi","data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","9
+
Photos",Updated 5 days ago ,Owner: Khuswant Kohli,,,https://www.magicbricks.com/dda-lig-flats-hari-nagar-new-delhi-pdpid-4d4235303930373333,DDA LIG Flats,"FURNISHING
Unfurnished","BATHROOM
1","TENANT PREFERRED
Bachelors/Family","AVAILABILITY
Immediately","CARPET AREA
900 sqft","FLOOR
1 out of 2","SOCIETY
DDA LIG Flats","BATHROOM
1","BALCONY
1",,,,"₹
15,000",Security Deposit,Contact Owner ,Make Offer 
2 BHK Builder Floor for Rent in Uttam Nagar New Delhi,"data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","4
+
Photos",Updated yesterday,Owner: R K Jain,,,,,"FURNISHING
Semi-Furnished","BATHROOM
2","TENANT PREFERRED
Bachelors/Family","AVAILABILITY
Immediately","SUPER AREA
675 sqft","FLOOR
3 out of 3","FACING
East","OVERLOOKING
Main Road","BATHROOM
2","BALCONY
2",,,"₹
11,000",See other charges,Contact Owner ,Make Offer 
"2 BHK Apartment for Rent in Khanpur Extension, Sangam Vihar New Delhi","data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","8
+
Photos",Updated 5 days ago ,Owner: Deepak Pandey,,,,,"FURNISHING
Semi-Furnished","BATHROOM
2","TENANT PREFERRED
Bachelors/Family","AVAILABILITY
Immediately","SUPER AREA
589 sqft","FLOOR
2 out of 4","BATHROOM
2",,,,,"Multistorey apartment is available for rent. It covered area of 589 sq-ft, it is a good location property. Please contact for more details.","₹
16,000",See other charges,Contact Owner ,Ask Society Name 
1 BHK Apartment for Rent in DDA FLATS New Delhi,"data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","6
+
Photos",Updated 4 days ago ,Owner: Dheeraj Kumar Mathur,,,,,"FURNISHING
Semi-Furnished","BATHROOM
1","TENANT PREFERRED
Bachelors","AVAILABILITY
Immediately","CARPET AREA
396 sqft","FLOOR
2 out of 4","FACING
North","OVERLOOKING
Garden/Park, Main Road","BATHROOM
1","BALCONY
1",,Property avaialble within 100 meeters from maon market and 500 meeters from main Dwarka road. 6km distance from Terminal 3 International Airport.,"₹
5,500",Security Deposit,Contact Owner ,Ask Society Name 
1 BHK Apartment for Rent in Independent fully furnished 1bhk apartment New Delhi,"data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","6
+
Photos",Updated yesterday,Owner: Nidhi,,,,,"FURNISHING
Furnished","BATHROOM
1","TENANT PREFERRED
Bachelors/Family","AVAILABILITY
Immediately","SUPER AREA
550 sqft","FLOOR
Ground out of 4","BATHROOM
1",,,,,"Multistorey apartment is available for rent. It covered area of 550 sq-ft, it is a good location property. Please contact for more details.","₹
13,500",See other charges,Contact Owner ,Ask Society Name 
"2 BHK Apartment for Rent in Rwa Dayalsar Road uttam nagar, Uttam Nagar West New Delhi","data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","5
+
Photos",Updated yesterday,Owner: Hiten Arya,,,https://www.magicbricks.com/rwa-dayalsar-road-uttam-nagar-uttam-nagar-west-new-delhi-pdpid-4d4235323037373337,Rwa Dayalsar Road uttam nagar,"FURNISHING
Furnished","BATHROOM
1","TENANT PREFERRED
Bachelors/Family","AVAILABILITY
Immediately","SUPER AREA
500 sqft","FLOOR
3 out of 4","SOCIETY
Rwa Dayalsar Road uttam nagar","BATHROOM
1","BALCONY
1",,,Multistorey apartment is available for rent. It is a good location property. Please contact for more details.,"₹
15,000",Security Deposit,Contact Owner ,Request Site Visit 
"2 BHK Apartment for Rent in DDA Pocket B, Dilshad Garden New Delhi","data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","9
+
Photos",Updated 3 days ago ,Owner: Dr Rajan,,,https://www.magicbricks.com/dda-pocket-b-dilshad-garden-new-delhi-pdpid-4d4235303736343539,DDA Pocket B,"FURNISHING
Furnished","BATHROOM
1","TENANT PREFERRED
Bachelors/Family","AVAILABILITY
Immediately","CARPET AREA
1050 sqft","FLOOR
4 out of 5","FACING
East","OVERLOOKING
Garden/Park","SOCIETY
DDA Pocket B","BATHROOM
1","BALCONY
3",Multistorey apartment is available for rent. It is a good location property. Please contact for more details.,"₹
16,999",See other charges,Contact Owner ,Make Offer 
"2 BHK Apartment for Rent in Chhajjupur, Babarpur New Delhi","data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","3
+
Photos",Updated 3 days ago ,Owner: Jaydeep,,,,,"FURNISHING
Semi-Furnished","BATHROOM
1","TENANT PREFERRED
Bachelors/Family","AVAILABILITY
Immediately","SUPER AREA
450 sqft","FLOOR
4 out of 4","BATHROOM
1",,,,,,"₹
9,000",See other charges,Contact Owner ,Ask Society Name 
3 BHK Builder Floor for Rent in Sector 22 Rohini New Delhi,"data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","7
+
Photos",Updated yesterday,Owner: Siddharth,,,,,"FURNISHING
Semi-Furnished","BATHROOM
3","TENANT PREFERRED
Bachelors","AVAILABILITY
Immediately","SUPER AREA
90 sqm","FLOOR
1 out of 4","OVERLOOKING
Main Road","BATHROOM
3","BALCONY
2",,,,"₹
21,000",See other charges,Contact Owner ,Request Site Visit 
"1 BHK Apartment for Rent in DDA Flats Lado Sarai, Lado Sarai New Delhi","data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","13
+
Photos",Updated yesterday,Owner: KARTIKEY DAS,,,https://www.magicbricks.com/dda-flats-lado-sarai-lado-sarai-new-delhi-pdpid-4d4235303735353331,DDA Flats Lado Sarai,"FURNISHING
Furnished","BATHROOM
1","TENANT PREFERRED
Bachelors/Family","AVAILABILITY
Immediately","CARPET AREA
500 sqft","FLOOR
1 out of 3","SOCIETY
DDA Flats Lado Sarai","BATHROOM
1","BALCONY
1",,,Multistorey apartment is available for rent. It is a good location property. Please contact for more details. The monthly maintenance is Rs 1000/-.,"₹
15,000",Security Deposit,Contact Owner ,Make Offer 
"2 BHK Apartment for Rent in Ranjit Vihar II, Sector 23 Dwarka New Delhi","data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","23
+
Photos",Updated 3 days ago ,Owner: Nisha Deswal,,,https://www.magicbricks.com/ranjit-vihar-ii-dwarka-sector-23-new-delhi-pdpid-4d4235303131313338,Ranjit Vihar II,"FURNISHING
Semi-Furnished","BATHROOM
2","TENANT PREFERRED
Bachelors/Family","AVAILABILITY
From Jan '25","SUPER AREA
1100 sqft","FLOOR
7 out of 11","SOCIETY
Ranjit Vihar II","BATHROOM
2",,,,Multistorey apartment is available for rent. It is a good location property. Please contact for more details.,"₹
35,000",See other charges,Contact Owner ,Request Site Visit 
 Studio Apartment for Rent in Vasant Kunj New Delhi,"data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","4
+
Photos",Updated 3 days ago ,Owner: Prashant Malik,,,,,"FURNISHING
Semi-Furnished","BATHROOM
1","TENANT PREFERRED
Bachelors/Family","AVAILABILITY
Immediately","CARPET AREA
80 sqft","FLOOR
3 out of 4","OVERLOOKING
Main Road","BATHROOM
1","BALCONY
1",,,,"₹
16,000",See other charges,Contact Owner ,Make Offer 
1 BHK Apartment for Rent in Mehrauli New Delhi,"data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","8
+
Photos",Updated yesterday,Owner: Jalees,,,,,"FURNISHING
Unfurnished","BATHROOM
1","TENANT PREFERRED
Bachelors/Family","AVAILABILITY
Immediately","CARPET AREA
400 sqft","FLOOR
4 out of 5","OVERLOOKING
Garden/Park","BATHROOM
1","BALCONY
1",,,Multistorey apartment is available for rent. It is a good location property. Please contact for more details.,"₹
14,000",See other charges,Contact Owner ,Ask Society Name 
"3 BHK Apartment for Rent in Elephanta Heights, Sector 10 Dwarka New Delhi","data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","2
+
Photos",Updated 3 days ago ,Owner: DUGGU SHARMA,,,https://www.magicbricks.com/elephanta-heights-dwarka-sector-10-new-delhi-pdpid-4d4235303131333536,Elephanta Heights,"FURNISHING
Furnished","BATHROOM
3","TENANT PREFERRED
Bachelors/Family","AVAILABILITY
Immediately","SUPER AREA
1900 sqft","FLOOR
2 out of 7","SOCIETY
Elephanta Heights","BATHROOM
3","BALCONY
3",,,,"₹
65,000",Security Deposit,Contact Owner ,Check Availability 
2 BHK Apartment for Rent in Phase 6 Aya Nagar New Delhi,"data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","4
+
Photos",Updated 4 days ago ,Owner: Ajay Kumar Singh,,,,,"FURNISHING
Unfurnished","BATHROOM
1","TENANT PREFERRED
Bachelors/Family","AVAILABILITY
Immediately","CARPET AREA
1200 sqft","FLOOR
1 out of 3","BATHROOM
1","BALCONY
1",,,,,"₹
10,000",Security Deposit,Contact Owner ,Ask Society Name 
"2 BHK Builder Floor for Rent in Fateh Nagar, Janakpuri New Delhi","data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","9
+
Photos",Updated today,Owner: Ashok,,,,,"FURNISHING
Unfurnished","BATHROOM
2","TENANT PREFERRED
Bachelors","AVAILABILITY
Immediately","CARPET AREA
75 sqyrd","FLOOR
3 out of 4","FACING
East","BATHROOM
2","BALCONY
1",,,,"₹
20,000",Security Deposit,Contact Owner ,Make Offer 
"2 BHK Apartment for Rent in DDA Metro View Apartments, Sector 13 Dwarka New Delhi","data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","30
+
Photos",Updated 4 days ago ,Owner: Raj,,,https://www.magicbricks.com/dda-metro-view-apartments-dwarka-sector-13-new-delhi-pdpid-4d4235303130393934,DDA Metro View Apartments,"FURNISHING
Semi-Furnished","BATHROOM
2","TENANT PREFERRED
Bachelors","AVAILABILITY
Immediately","SUPER AREA
1100 sqft","FLOOR
2 out of 2","OVERLOOKING
Garden/Park, Main Road","SOCIETY
DDA Metro View Apartments","BATHROOM
2","BALCONY
2",,,"₹
25,000",Security Deposit,Contact Owner ,Check Availability 
 Studio Apartment for Rent in West Patel Nagar New Delhi,"data:image/svg+xml;base64,PD94bWwgdmVyc2lvbj0iMS4wIiBlbmNvZGluZz0iVVRGLTgiPz48c3ZnIHdpZHRoPSI5OTk5OXB4IiBoZWlnaHQ9Ijk5OTk5cHgiIHZpZXdCb3g9IjAgMCA5OTk5OSA5OTk5OSIgdmVyc2lvbj0iMS4xIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodHRwOi8vd3d3LnczLm9yZy8xOTk5L3hsaW5rIj48ZyBzdHJva2U9Im5vbmUiIGZpbGw9Im5vbmUiIGZpbGwtb3BhY2l0eT0iMCI+PHJlY3QgeD0iMCIgeT0iMCIgd2lkdGg9Ijk5OTk5IiBoZWlnaHQ9Ijk5OTk5Ij48L3JlY3Q+IDwvZz4gPC9zdmc+","5
+
Photos",Updated 4 days ago ,Owner: Vikas,,,,,"FURNISHING
Unfurnished","BATHROOM
1","TENANT PREFERRED
Bachelors/Family","AVAILABILITY
Immediately","CARPET AREA
500 sqft","FLOOR
Ground out of 3","OVERLOOKING
Garden/Park","BATHROOM
1","BALCONY
1",,,"easy accessibilty to market, metro station","₹
22,000",See other charges,Contact Owner ,Check Availability 
