price;price_per_sqft;photos_count;furnishing;bedroom;bathroom;tenant_preferred;availability;carpet_tot;super_tot;area;floor;num_floor;facing;overlooking;ownership;balcony;nb_caract_descript;contact;operating_since;buyers_served;titre;description
30000;35;10;Unfurnished;3;2;Bachelors;Immediately;850;;850;3 out of 4;3;North;Garden/Park;Freehold;1;69;Agent ;2000;500;3 BHK Builder Floor for Rent in Pitam Pura New Delhi;100 sq Yard New Floor With Lift The monthly maintenance is Rs 1500/-.
280000;133;13;Semi-Furnished;4;5;Bachelors/Family;Immediately;2100;;2100;Ground out of 4;0;South - East;;;3;103;Agent ;;;4 BHK Builder Floor for Rent in Green Park New Delhi;4 BHK, Ground Floor Available For Rent In Green Park, New Delhi. The monthly maintenance is Rs 10000/-.
31000;36;11;Unfurnished;3;3;Bachelors;Immediately;850;;850;1 out of 4;1;North - East;Main Road;;1;524;Agent ;2008;2500;3 BHK Builder Floor for Rent in Pitam Pura New Delhi;Offering a fantastic view and surroundings, this flat is very spacious and gets ample light and cross ventilation. This 3 bedroom, Moduler Kitchen, 3 bathrooms flat is available for rent for Rs  31,000.The house has 247 electricity nd water supply available .This is located in one of the posh localities of pitam pura .Healthy nd Safe environment nd neighborhood.All Basic transport facilities are just on walking distance.Market ,Bank, ATMs ,Schools etc all are just on few miles away. The monthly maintenance is Rs 700/-.
35000;23;10;Semi-Furnished;3;2;Family;Immediately;1500;;1500;Ground out of 10;0;North - East;Garden/Park, Main Road;;2;143;Agent ;;1000;3 BHK Apartment for Rent in Bhrigu Apartments, Dwarka Sector 9 New Delhi;3bhk flat complet woodwork marble flooring walking to sector 9 metro station very nice location in dwarka The monthly maintenance is Rs 3000/-.
35000;38;13;Semi-Furnished;2;2;Bachelors/Family;Immediately;925;;925;Ground out of 3;0;East;Main Road;;1;238;Agent ;2004;2000;2 BHK Apartment for Rent in DDA Flats Sector E Pocket 1, Vasant Kunj New Delhi;DDA FLAT ON THE GROUND FLOOR, SUN FACING AMPLE PARKING SPACE. AVAILABLE FOR FAMILY BACHELORS. ITS A 2BHK WITH STUDY ROOM OR TV LOUNGE, NICELY DOENUP. FOR MORE DETAILS KINDLY CONTACT Kumar Estate Agency The monthly maintenance is Rs 650/-.
25000;33;5;Unfurnished;;1;Bachelors/Family;Immediately;750;;750;2 out of 2;2;South - East;Main Road;;2;546;Agent ;2013;100; Studio Apartment for Rent in Block G Green Park Extension New Delhi;This is a posh residential area of South Delhi,,,This is a posh residential area of South Delhi. Hauz Khas Village is one of the major attractions of the area which houses many fine dining restaurants, cafes, pubs and boutiques. Various tourist places like Qutub Complex, Mehrauli Archaeological Park, Safdarjung and Humayuns Tomb are near Hauz Khas.I will show you three options please visit first andPlease contact for renting any type of house. Meanwhile I will keep sending you some photographs. Thank you The monthly maintenance is Rs 500/-.
35000;26;14;Semi-Furnished;3;2;Bachelors/Family;Immediately;1350;;1350;2 out of 4;2;East;Garden/Park;;2;0;Agent ;1995;1000;3 BHK Apartment for Rent in DDA New Delhi;
65000;36;8;Unfurnished;3;3;Bachelors/Family;From Jan '25;1800;;1800;Ground out of 4;0;North - East;Garden/Park, Main Road;;1;275;Agent ;2016;2500;3 BHK Apartment for Rent in DDA Flats Vasant Kunj, Sector A Vasant Kunj New Delhi;Available for rent dda flat in vasant kunj sector a,pocket b and c, ground floor , 3 bedroom , 3 washroom , drawing room , dining room , modular kitchen, 1 big courtyard, water storage , car parking and available for  visitor car parking. The monthly maintenance is Rs 600/-.
140000;52;16;Semi-Furnished;4;5;Bachelors;Immediately;2700;;2700;3 out of 4;3;North;Garden/Park;;2;121;Agent ;2016;2000;4 BHK Apartment for Rent in Block J Saket New Delhi;saket j belok 300 hundred yard third floor with lift brand new 24 hours gard 2 car parking saket pvr Anupam near by metro
60000;33;12;Semi-Furnished;3;3;Bachelors;Immediately;1800;;1800;1 out of 3;1;North - East;Garden/Park;Freehold;2;78;Agent ;2006;1500;3 BHK Builder Floor for Rent in Ram Vihar Anand Vihar New Delhi;tons of natural light nice park nearby lots of trees in backyard move in ready
9000;36;16;Furnished;1;1;Bachelors;Immediately;250;;250;Ground out of 1;0;East;Garden/Park, Main Road;Freehold;;90;Agent ;2016;500;1 BHK Apartment for Rent in DDA Paryavaran Apartments, Vikaspuri New Delhi;It is located in one of the best society in Vikaspuri The monthly maintenance is Rs 250/-.
120000;44;2;Semi-Furnished;3;3;Bachelors;Immediately;2700;;2700;2 out of 4;2;North - East;Garden/Park;Power Of Attorney;2;0;Agent ;2005;3500;3 BHK Builder Floor for Rent in Block J Saket New Delhi;
80000;32;;Semi-Furnished;4;3;Bachelors;Immediately;2500;;2500;2 out of 4;2;North - East;Garden/Park;;2;102;Agent ;2004;100;4 BHK Builder Floor for Rent in Anand Vihar New Delhi;north east facing builder floor is available for rent preference to those who are building their house
70000;49;11;Semi-Furnished;3;3;Bachelors;Immediately;1440;;1440;3 out of 4;3;North;Garden/Park;;2;111;Agent ;1996;500;3 BHK Builder Floor for Rent in C Block RWA Flats Chittranjan Park, Kalkaji New Delhi;Builder floor apartment is available for rent. It is a good location property. Please contact for more details.
130000;68;6;Furnished;2;2;Bachelors;Immediately;;1900;1900;1 out of 3;1;North;Garden/Park;;2;252;Agent ;2010;5000;2 BHK Builder Floor for Rent in Defence colony Villas, Defence Colony New Delhi;Spacious and park facing fully furnished 2 bedroom with attached bathroom, drawing area with modular kitchen and big size balcony available for rent in Defence colony, it's on 1st floor with lift, one car parking. The monthly maintenance is Rs 10000/-.
42000;42;15;Unfurnished;2;2;Bachelors/Family;From Feb '25;1000;;1000;1 out of 4;1;South -West;Garden/Park;;1;234;Agent ;1997;500;2 BHK Apartment for Rent in DDA Shivalik Apartments, Alaknanda New Delhi;Shivalik Apartment Alaknanda, DDA SFS Flat , First Floor, two Bed Room, Drawing Dining, Kitchen, Study room , Corner house , Park facing , beautiful location , suits for Small family hurry call me The monthly maintenance is Rs 1000/-.
42000;26;16;Semi-Furnished;3;3;Bachelors/Family;Immediately;1600;;1600;Ground out of 4;0;North - East;Garden/Park, Main Road;;2;6;Agent ;;;3 BHK Builder Floor for Rent in Phase 3 Model Town New Delhi;3 bhk.
120000;38;6;Semi-Furnished;4;4;Bachelors/Family;Immediately;;3150;3150;2 out of 4;2;North;Garden/Park;;4;568;Agent ;2007;2000;4 BHK Builder Floor for Rent in Navjeevan Vihar New Delhi;Looking for an affordable apartment with best facilities. You are at the right place. A semi furnished residential apartment at Navjeevan Vihar, delhi south, with covered area of 350 sq. Yards. Is available for rent. It is located on the first floor, which comprises of 4 bedrooms, 4 bathrooms, wardrobes, modular kitchen. There is a balcony in the property, which makes it fully ventilated, full of natural light, with a relaxing view to enjoy. Everything within the apartment is of high quality. please contact for more details. The monthly maintenance is Rs 5000/-.
60000;29;16;Semi-Furnished;3;4;Bachelors;Immediately;2100;;2100;2 out of 4;2;East;Garden/Park;Freehold;;123;Agent ;2012;100;3 BHK Builder Floor for Rent in RWA Jasola, Jasola New Delhi;6bhk khothi sale in jasola pocket 2 3site open park face sun face plot sale in jasola The monthly maintenance is Rs 1000/-.
250000;104;17;Semi-Furnished;4;4;Bachelors;Immediately;2400;;2400;2 out of 3;2;North - East;Main Road;Freehold;2;210;Agent ;2005;;4 BHK Builder Floor for Rent in Vasant Vihar New Delhi;4 BHK with terrace garden flat available for rent in Vasant Vihar, lift, servant room, kitchen, spacious bedrooms with attached bathrooms . please contact for more details. The monthly maintenance is Rs 3000/-.
310000;69;9;Semi-Furnished;4;4;Bachelors;Immediately;4500;;4500;Ground out of 4;0;North;Garden/Park;Freehold;3;229;Agent ;1995;1500;4 BHK Builder Floor for Rent in Panchsheel Park New Delhi;newly built builder floor on rent modern construction modular kitchen italion marble flooring complete woodwork very good location very posh locality in South delhi more details plz call more The monthly maintenance is Rs 5000/-.
160000;71;12;Semi-Furnished;3;4;Bachelors/Family;Immediately;;2250;2250;2 out of 4;2;North - East;Garden/Park;Freehold;;138;Agent ;2000;500;3 BHK Builder Floor for Rent in Greater Kailash 2 New Delhi;ready to move in brand new builder floor for rent in Greater Kailash II with lift and stilt car parking for more details please contact us
20000;80;10;Furnished;;1;Bachelors/Family;Immediately;250;;250;2 out of 4;2;North - East;Garden/Park, Main Road;;2;13;Agent ;2017;100; Studio Apartment for Rent in Old Rajinder Nagar New Delhi;good location
90000;43;1;Furnished;3;3;Bachelors;Immediately;;2100;2100;3 out of 11;3;East;Garden/Park;Freehold;;0;Agent ;;100;3 BHK Apartment for Rent in Mount Kailash, East Of Kailash New Delhi;
25000;31;8;Furnished;2;2;Bachelors;Immediately;800;;800;1 out of 4;1;North - East;Garden/Park, Main Road;;1;52;Agent ;;;2 BHK Apartment for Rent in 150 New Delhi;very good flat The monthly maintenance is Rs 1000/-.
140000;64;11;Unfurnished;4;4;Bachelors/Family;Immediately;2200;;2200;1 out of 4;1;East;Garden/Park;Freehold;2;66;Agent ;2003;;4 BHK Builder Floor for Rent in Safdarjung Enclave New Delhi;4bhk flat with Exclusive terrace with vertical garden and Jacuzzi.
40000;35;6;Semi-Furnished;3;3;Bachelors/Family;Immediately;1152;;1152;1 out of 1;1;North - East;Main Road;;1;601;Agent ;2012;;3 BHK Builder Floor for Rent in Inder Puri New Delhi;Are you looking for an affordable Independent Floor for rent in Delhi. Here is a spacious 3 BHK Independent Floor in Inder Puri, promising a comfortable lifestyle. The Independent Floor is semi furnished. Built on floor 1 out of a total 4 floors, it is an ideal home providing beautiful views of the citys skyline. This property is designed to suit your space needs and has 3 bedrooms and 3 bathroom. It also includes 2 balcony. Nestled inside a gated society, this 3 BHK Independent Floor is a perfect accommodation for families seeking a contemporary lifestyle. The monthly maintenance is Rs 1000/-.
500000;111;12;Semi-Furnished;4;4;Bachelors;Immediately;4500;;4500;Ground out of 4;0;East;Garden/Park;;2;80;Agent ;2011;1500;4 BHK Builder Floor for Rent in Vasant Vihar New Delhi;it is a first floor 4 bhk fully furnished The monthly maintenance is Rs 20000/-.
60000;35;5;Unfurnished;3;3;Bachelors/Family;Immediately;1710;;1710;4 out of 4;4;South - East;Garden/Park;;2;439;Agent ;2010;500;3 BHK Builder Floor for Rent in A G C R Enclave Anand Vihar New Delhi;3bhk builder floor top floor ,  walking distance to kakardoma court metro station is available with lift and reserved car parking space with it. It is completely done with wooden work in all bedrooms and kitchen is done with fully modular work including chimney, gas pipeline, hob, stove, exhaust, gyser etc. It is mainly located nearby 21 fitness gym, karkardoma metro station, leela kempinski hotel. The monthly maintenance is Rs 3000/-.
80000;34;5;Semi-Furnished;4;5;Bachelors;Immediately;2350;;2350;4 out of 4;4;South -West;;;2;0;Owner ;;;4 BHK Builder Floor for Rent in Karol Bagh New Delhi;
35000;33;13;Furnished;3;2;Bachelors;Immediately;1050;;1050;1 out of 5;1;North;Garden/Park, Main Road;Freehold;;67;Agent ;2015;100;3 BHK Apartment for Rent in Acharya Niketan, Mayur Vihar 1 New Delhi;prime location, lift available The monthly maintenance is Rs 500/-.
160000;78;13;Semi-Furnished;3;3;Family;Immediately;2053;;2053;1 out of 4;1;South - East;Main Road;;3;390;Agent ;;500;3 BHK Builder Floor for Rent in Gulmohar Park New Delhi;300 sq yards 3 BHK Buiilder floor is available for rent in Gulmohar Park. lift, reserved car Parking facility is there, spacious 3 Bedrooms with attach bathrooms. property is very well maintained and is located in a gated posh society. For any query, Contact.Hi My Name is jatin and i can help you in renting properties in south delhi, as per your requirements. More such options available.
150000;107;15;Furnished;3;3;Bachelors/Family;Immediately;1400;;1400;1 out of 4;1;;Garden/Park;;2;612;Agent ;2010;100;3 BHK Builder Floor for Rent in Defence Colony New Delhi;Carefully laid out in the prime location of south delhi, this spacious 3 bhk builder floor for rent in defence colony is now available for 1.7 lac monthly. Electricity charges  water charges shall be payable as per schedule. Ready to occupy from fri, 27 dec 2024 to family on any agreement type. Tenants need to serve a prior notice of 3 months. Floor has attached 3 bathrooms  2 balconies with 3 rooms. The floor is spread over carpet area of 1400 sq.Ft. The building has ample parking space for each floor owners  2 covered parking. This builder floor is on the 1st floor. The monthly maintenance is Rs 5000/-.
55000;41;7;Unfurnished;3;1;Bachelors;Immediately;;1350;1350;3 out of 4;3;East;Garden/Park;;1;96;Agent ;2005;1000;3 BHK Builder Floor for Rent in Janakpuri New Delhi;Builder floor apartment is available for rent. This is very well maintained property in C block.
6000;15;;Semi-Furnished;1;1;Bachelors/Family;Immediately;;400;400;1 out of 1;1;;;;1;0;Owner ;;;1 BHK Apartment for Rent in New Ashok Nagar New Delhi;
200000;74;33;Semi-Furnished;4;4;Bachelors/Family;Immediately;2700;;2700;1 out of 4;1;North;Garden/Park;Freehold;;117;Agent ;2013;100;4 BHK Builder Floor for Rent in New Friends Colony Floors, New Friends Colony New Delhi;For Rent, Frist Floor, 500sqyd, 4BHK, Lift, Sarvent Quarter, New Construction. The monthly maintenance is Rs 20000/-.
55000;49;6;Unfurnished;2;2;Bachelors;Immediately;;1125;1125;2 out of 4;2;North - East;Garden/Park;Freehold;2;117;Agent ;2010;500;2 BHK Builder Floor for Rent in Chittaranjan Park New Delhi;Property available for rent spacious 2 bhk 125 sq Yard with Acs lift stilt parking, Available from 1st February 2025.
35000;39;7;Semi-Furnished;2;2;Bachelors/Family;Immediately;900;;900;Upper Basement out of 4;-1;;;;1;0;Agent ;;;2 BHK Builder Floor for Rent in Saket New Delhi;
11000;22;15;Unfurnished;1;1;Bachelors/Family;Immediately;;500;500;4 out of 4;4;North - East;Garden/Park;;2;62;Owner ;;;1 BHK Apartment for Rent in DDA LIG Apartment Dilshad Garden, Dilshad Garden New Delhi;nearby 3 metro stations 4 hospitals so many schools and market
35000;41;11;Semi-Furnished;2;2;Bachelors/Family;Immediately;850;;850;2 out of 3;2;East;Garden/Park, Main Road;;1;207;Agent ;1995;1500;2 BHK Builder Floor for Rent in Satya Niketan, Moti Bagh New Delhi;This property located on the main road and walking distance from the metro station Durgabai deshmukh .Near by market bus stand atm metro station park colleges  schools 24 hours electricity and running water.
40000;29;10;Semi-Furnished;3;2;Bachelors/Family;Immediately;1400;;1400;3 out of 7;3;North - East;Garden/Park, Main Road;Freehold;;0;Agent ;2010;2000;3 BHK Apartment for Rent in Saransh Apartment, IP Extension New Delhi;
150000;94;12;Unfurnished;3;3;Bachelors;Immediately;1600;;1600;2 out of 4;2;North - East;Garden/Park;;2;132;Agent ;2004;100;3 BHK Builder Floor for Rent in RWA Defence Colony Block A, Defence Colony New Delhi;3 side open new construction wide road lot of parking for visitors also beautiful 3 bedrooms. The monthly maintenance is Rs 10000/-.
16000;46;11;Furnished;1;1;Bachelors/Family;Immediately;350;;350;Ground out of 4;0;North - West;Main Road;;;279;Owner ;;;1 BHK Apartment for Rent in DDA Radhika Apartment, Dwarka New Delhi;Sector 14 Dwarka fully furnished flat on ground floor DDA society well guarded by many security guards  near metro station behind multi plex  vegas mall   car parking power back up Wi  Fi T V with cable almirahs parks for playing AC in rooms. The monthly maintenance is Rs 200/-.
33000;23;24;Semi-Furnished;3;3;Bachelors/Family;Immediately;1450;;1450;1 out of 4;1;North - East;Garden/Park, Main Road;;3;375;Agent ;1988;500;3 BHK Apartment for Rent in DDA Flats Sarita Vihar, Pocket B Sarita Vihar New Delhi;GROUND FLOOR 3BHK  STUDY ROOM and Puja room available for Rent, Very prime location, Ample space for Personal parking, Next to Park, North East Facing, Vastu Compliant. The Property is fully renovated with Excellent Interiors and Marble flooring. Presently with 3 Modern Bathrooms. Its value for money deal. Excellent locational Features. The monthly maintenance is Rs 300/-.
18000;40;5;Furnished;2;2;Bachelors/Family;Immediately;450;;450;2 out of 4;2;East;Main Road;;1;0;Owner ;;;2 BHK Apartment for Rent in Osho LA Stay New Delhi;
10500;15;13;Semi-Furnished;;1;Bachelors;Immediately;720;;720;4 out of 4;4;East;Garden/Park, Main Road;;1;124;Owner ;;; Studio Apartment for Rent in Dwarka New Delhi;Adjoining jogging DDA park with dedicated Gate  Open Gym Gated society CCTV Car Parking The monthly maintenance is Rs 400/-.
170000;63;13;Semi-Furnished;4;4;Bachelors/Family;Immediately;2700;;2700;Ground out of 4;0;North;Garden/Park, Main Road, Pool;;3;185;Agent ;2010;2000;4 BHK Builder Floor for Rent in South Extension 2 New Delhi;upper ground floor 4bed room attached bathroom drawing dining room kitchen balcony sarvent quarter stilt car parking owner free property, brand new The monthly maintenance is Rs 5000/-.
13000;26;8;Unfurnished;1;1;Bachelors;Immediately;500;;500;3 out of 4;3;East;Garden/Park, Main Road;;1;609;Agent ;1990;6000;1 BHK Apartment for Rent in Vikaspuri New Delhi;1bhk flat for rent in vikas puri near janak puri West metro station. Very Exclusive, 1 bedroom one drawing dinning room,1 washroom, marble flooring, Wardrobe, Wooden Work In kitchen, fans, tubelight, Ample parking space, proper fully cross ventilation, The Gate is made Up of Iron And Wooden, The Property is Well connected to Metro station,  schools, Pvr, Mall, Main Markets, Bus Stop, Gym, Banks  Atm, Mandir, Gurdwara Etc to be half kilometer away from it ,THIS IS A GOLDEN OPPORTUNITY TO GET SUCH A MATCHLESS PROPERTY . MORE OPTIONS ARE ALSO AVAILABLE IN SAME BUDGET . The monthly maintenance is Rs 200/-.
29000;29;29;Semi-Furnished;2;2;Bachelors/Family;Immediately;;1000;1000;3 out of 4;3;;;;;0;Owner ;;;2 BHK Apartment for Rent in Ahinsa Apartment, Sector 9 Rohini New Delhi;
85000;45;;Semi-Furnished;3;3;Bachelors/Family;Immediately;1900;;1900;Ground out of 3;0;East;Garden/Park;;3;112;Agent ;1999;14000;3 BHK Builder Floor for Rent in Block E Greater Kailash 2 New Delhi;park facing specious 3bhk in gated society. 2 side open cross ventilation. The monthly maintenance is Rs 5000/-.
730000;81;10;Semi-Furnished;5;5;Family;Immediately;;9000;9000;2 out of 3;2;South - East;Garden/Park;;2;238;Agent ;2001;100;5 BHK Builder Floor for Rent in Sadhna Enclave, Panchsheel Park New Delhi;In sadhna enclave, 2nd Floor,   1100 sqyd,  5BHk, South East Facing, Exclusive lift  entry , lavish furnished just like brand new, small terrace, very peaceful  prime location, ample parking, close to park, vastu perfect  Demand  7.25 lac
35000;41;11;Semi-Furnished;2;2;Bachelors/Family;Immediately;850;;850;1 out of 4;1;East;Garden/Park, Main Road;;1;142;Agent ;2009;5000;2 BHK Builder Floor for Rent in Tagore Garden, Rajouri Garden, Najafgarh Road New Delhi;2BHK builder floor available in top location of Tagore Garden near Metro Station AC fitting in all two bedroom, Gas chimney geyser also fitted
50000;42;11;Semi-Furnished;2;2;Bachelors;Immediately;1200;;1200;1 out of 8;1;;Garden/Park;;3;0;Agent ;;;2 BHK Apartment for Rent in Ganga Duplex, D6 Sector D Vasant Kunj New Delhi;
45000;41;;Unfurnished;2;2;Bachelors;Immediately;1100;;1100;4 out of 7;4;North - West;Garden/Park, Main Road;;3;94;Agent ;1990;3500;2 BHK Apartment for Rent in D-6 Vasant Kunj New Delhi;Available for rent 2BHK flat in vasant kunj gated society The monthly maintenance is Rs 900/-.
140000;78;7;Furnished;3;3;Bachelors/Family;Immediately;1800;;1800;Ground out of 4;0;North - East;Garden/Park;Freehold;;235;Agent ;;;3 BHK Builder Floor for Rent in Jangpura Extension, Jangpura New Delhi;its available independent builder floor apartment in jangpura extension ground floor 3bedroom with attach bathroom drawing and dining kitchen big balcony lift Sarvent room car parking wide road fulli furnished 200y rent asking 1.40lakh
82000;40;;Unfurnished;3;3;Bachelors;Immediately;2025;;2025;1 out of 3;1;South - East;Main Road;;1;121;Agent ;2010;;3 BHK Builder Floor for Rent in Kalkaji New Delhi;3bhk fully furnished very nice Property separate no water issue separate electricity government meetar very good location
26000;29;10;Semi-Furnished;2;2;Bachelors/Family;Immediately;900;;900;4 out of 7;4;East;Garden/Park;;2;147;Agent ;2000;;2 BHK Apartment for Rent in Link Apartment, Indraprastha New Delhi;Multistorey apartment is available for rent. It is a good location property. Please contact for more details. The monthly maintenance is Rs 5000/-.
300000;109;14;Semi-Furnished;4;4;Bachelors/Family;Immediately;;2750;2750;3 out of 4;3;South;;Freehold;2;185;Agent ;2005;;4 BHK Builder Floor for Rent in Greater Kailash 1 New Delhi;Brand new luxurious 4bhk, 313sqyd builder floor for rent with lift and stilled, servant quarter,and all modern amenities, more details please call. The monthly maintenance is Rs 7000/-.
21000;26;11;Semi-Furnished;2;2;Bachelors/Family;Immediately;800;;800;2 out of 4;2;North - East;Garden/Park, Main Road;;1;80;Agent ;1988;500;2 BHK Builder Floor for Rent in Prashant Vihar, Rohini New Delhi;2 BHK B Block prasant vihar  ground floor  2 bedroom 2 bathroom store  1 balcony
72000;45;12;Semi-Furnished;3;2;Bachelors;Immediately;1600;;1600;2 out of 3;2;North - East;Garden/Park, Main Road;Freehold;;185;Agent ;2016;11000;3 BHK Apartment for Rent in DDA Hill View Apartment, Vasant Vihar New Delhi;this is a 3bhk flat for Rent Hill view apartment vasant vihar. This property is 2 and 3 duplex. It has natural light and ventilation this property. The monthly maintenance is Rs 1000/-.
20000;48;11;Furnished;1;1;Bachelors/Family;Immediately;420;;420;1 out of 3;1;North - East;Main Road;;1;330;Agent ;2000;4500;1 BHK Apartment for Rent in DDA Arunodaya Apartment, Sector 7 Dwarka New Delhi;450 sqft flat one bedroom drawing dining with balcony and one washroom fully furnished flat available in gated dda pkt first floor excellent wooden work bedroom and kitchen one double bed ac tv freeze washing machine good well maintain one car parking 24hr security guards park and market near The monthly maintenance is Rs 300/-.
280000;124;16;Unfurnished;4;4;Bachelors;Immediately;2250;;2250;2 out of 4;2;North - West;Garden/Park, Main Road, Pool;Freehold;;429;Agent ;2010;100;4 BHK Builder Floor for Rent in Vasant Vihar Builder Floor, Vasant Vihar New Delhi;Park facing, For Rent in Vasant Vihar, Ultra Luxury Renovated, 400 Square yards, 2nd floor, 4Bhk, attached Bathroom, Drawing and Dining, Modular Kitchen, Italian flooring, Lift, servant quarter also, Parking 2 cars, outside ample parking, Peaceful location, We have many more options available in Vasant Vihar, Anand Niketan, Westend Colony, Shanti Niketan, And South Delhi Posh localities, The monthly maintenance is Rs 12000/-.
31000;26;8;Unfurnished;2;2;Bachelors;Immediately;1170;;1170;Ground out of 3;0;North - East;Garden/Park;;1;86;Agent ;2010;;2 BHK Apartment for Rent in Associated Apartments, Patparganj New Delhi;this is good flat flooring change modular kichan The monthly maintenance is Rs 2350/-.
120000;92;11;Furnished;2;2;Bachelors;Immediately;1300;;1300;1 out of 4;1;North;Main Road;Freehold;2;262;Agent ;2005;100;2 BHK Builder Floor for Rent in GK Enclave 1 New Delhi;This is a top of the line fully furnished floor with lift and stilt parking. It is in a peaceful and gated Colony of GK Enclave 1. Major markets and commercial hubs are close to it. Metro station is also at walking distance. The monthly maintenance is Rs 3000/-.
120000;69;11;Semi-Furnished;3;3;Bachelors;Immediately;1750;;1750;2 out of 4;2;North;Garden/Park;;2;66;Agent ;;;3 BHK Builder Floor for Rent in RWA GK 2, Greater Kailash 2 New Delhi;Greater Kailash part 2, First floor with lift, stilt parking, 3bhk
14000;20;;Semi-Furnished;2;2;Bachelors;Immediately;700;;700;Ground out of 4;0;East;Garden/Park;;1;59;Agent ;2002;1000;2 BHK Builder Floor for Rent in Sector 24 Rohini New Delhi;two bedroom and two washroom well maintained floor for rent
45000;28;35;Semi-Furnished;3;3;Bachelors/Family;Immediately;1600;;1600;6 out of 9;6;North - East;Garden/Park, Main Road;Freehold;;188;Agent ;2015;;3 BHK Apartment for Rent in Mass Apartments, Sector 10 Dwarka New Delhi;3bhk 3 toilet property available rent in prime location of Dwarka. The property is well maintained and very near to market,schools,metros and hospital The monthly maintenance is Rs 2500/-.
150000;56;;Semi-Furnished;3;3;Bachelors;Immediately;2700;;2700;2 out of 4;2;North;Main Road;Freehold;3;42;Agent ;2008;;3 BHK Apartment for Rent in Banarsi Das Estate, Timarpur New Delhi;very close to vishwavidyalay metro station
45000;20;;Semi-Furnished;4;2;Bachelors/Family;Immediately;2200;;2200;2 out of 3;2;North - East;Garden/Park, Pool;;2;130;Agent ;2022;100;4 BHK Apartment for Rent in EAST DELHI POCKET E MAYUR VIHAR PH 2 New Delhi;Multistory apartment is available for rent. It carpet  area of 2200 sq-ft, it is a good location. Please contact for more details.
23000;34;7;Semi-Furnished;2;1;Bachelors;Immediately;675;;675;1 out of 3;1;North;Garden/Park;Freehold;;82;Agent ;2012;;2 BHK Apartment for Rent in NDMC Society, Vikaspuri New Delhi;Its a well maintained 2bhk society 1st floor The monthly maintenance is Rs 1200/-.
60000;33;17;Semi-Furnished;3;3;Bachelors;Immediately;1799;;1799;1 out of 4;1;South;Main Road;;2;153;Agent ;1988;2500;3 BHK Builder Floor for Rent in Block A3 Paschim Vihar New Delhi;brand new 200 sqyard builder floor available for rent in A3 block , Paschim Vihar , 3 bhk with 3 attached washrooms The monthly maintenance is Rs 1000/-.
22000;31;16;Semi-Furnished;1;1;Bachelors;Immediately;700;;700;2 out of 3;2;North;Garden/Park, Main Road, Pool;;1;436;Agent ;;5500;1 BHK Apartment for Rent in Safdarjung Enclave New Delhi;Safdarjung Enclave Independent Entrance Second Floor One Bedroom with Drawing and Dining Room attached kitchen and bathroom semi furnished with wardrobe almirah kitchen and bathroom semi furnished with Balcony available for rent suitable for Decent Family working Government Employees and Mnc working and Doctors Rent 22k Near Market and Metro Station Gated Community peace full location with one car reserved parking available for rent
30000;95;16;Semi-Furnished;1;1;Bachelors/Family;Immediately;315;;315;Ground out of 2;0;;;;;0;Agent ;2005;3500;1 BHK Builder Floor for Rent in South Extension 1 New Delhi;
350000;135;16;Semi-Furnished;4;4;Bachelors/Family;Immediately;;2600;2600;2 out of 4;2;North;;;2;606;Agent ;1990;3000;4 BHK Builder Floor for Rent in Safdarjung Enclave New Delhi;2600 Sq. ft.Mak Realtors Private Limited offers Residential Flat for RentSafdarjung Enclave, 500 sq. yds., Second Floor Flat for rent, Four Bedrooms Attached Bathrooms, Kitchen, Drawing  Dining Room, AC, Servant Quarter, Stilt Car Parking, Lift. Rent Rs. 3, 50,000- per monthSafdarjung Enclave is a very nice locality of south Delhi and well connected with the other parts of the city by train, bus and public transport. School, bank, ATM and hospital are all easily available. Being the center of south Delhi, it is preferred both by people working both in Gurgaon and Connaught Place besides South Delhi.
42000;37;4;Furnished;3;2;Family;Immediately;1150;;1150;2 out of 3;2;North - West;Garden/Park, Main Road;;2;237;Agent ;2008;1500;3 BHK Apartment for Rent in IP Extension New Delhi;Best location, sudershan apartment, 24,hours water,no power cut,parks,parking in society,near so many banks,atm,schools,market,metro,dtc bus stand,mandir,hospital. Only for compnay lease,  bank lease The monthly maintenance is Rs 1500/-.
35000;50;32;Furnished;1;1;Bachelors/Family;Immediately;700;;700;1 out of 4;1;North - East;Garden/Park, Main Road;;1;232;Agent ;;;1 BHK Apartment for Rent in DDA Ganga Apartment Sector D Pocket 6, D6 Sector D Vasant Kunj New Delhi;Unmatched peaceful location well connected. Spacious bedroom with attached bathroom wide roads, greenery all around, the property has been structured for ample natural light and cross ventilation The monthly maintenance is Rs 800/-.
30000;33;7;Unfurnished;2;2;Family;Immediately;900;;900;1 out of 4;1;South -West;Garden/Park;;;279;Agent ;1999;1500;2 BHK Apartment for Rent in New Saraswati Apartment, Sector 9 Rohini New Delhi;A very well maintained Two B.H.K society flat is available for rent in a well maintained society having all the basic facilities. Reputed Schools, Markets, Parks, Malls, Metro station  Hospitals  all are on walking distance from the society. The monthly maintenance is Rs 2000/-.
45000;34;2;Semi-Furnished;3;3;Bachelors/Family;Immediately;1325;;1325;1 out of 4;1;North - East;;;1;0;Agent ;2004;5000;3 BHK Builder Floor for Rent in Block B1 Janakpuri New Delhi;
